source,output,originalBytes,outputBytes,width,height,error
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.16.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.16.1.webp","924167","50436","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.41.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.41.1.webp","931195","68514","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.43.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.43.1.webp","825985","53666","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.44.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.44.1.webp","841896","57776","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.45.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.45.1.webp","903053","60198","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.76.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.76.1.webp","1288528","79254","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.77.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.77.1.webp","1161178","38106","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_2.78.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_2.78.1.webp","1411577","92234","1920","1080",""
"04_projects/offline/DSC08132.jpg","assets/ih-all/04_projects/offline/dsc08132.webp","18606954","602752","6000","4000",""
"04_projects/offline/DSC08136.jpg","assets/ih-all/04_projects/offline/dsc08136.webp","18678407","512108","6000","4000",""
"04_projects/offline/DSC08140.jpg","assets/ih-all/04_projects/offline/dsc08140.webp","13755285","425328","5441","3543",""
"04_projects/offline/DSC08159.jpg","assets/ih-all/04_projects/offline/dsc08159.webp","13286512","294748","6000","4000",""
"04_projects/offline/DSC08165.jpg","assets/ih-all/04_projects/offline/dsc08165.webp","17902469","439152","3846","6000",""
"04_projects/offline/DSC08171.jpg","assets/ih-all/04_projects/offline/dsc08171.webp","16823078","477572","6000","4000",""
"04_projects/offline/DSC08190.jpg","assets/ih-all/04_projects/offline/dsc08190.webp","19763559","711992","6000","4000",""
"04_projects/offline/DSC08223.jpg","assets/ih-all/04_projects/offline/dsc08223.webp","31582714","1052344","6000","3441",""
"04_projects/pogany-indulo/587484800_1400869875372281_3896705483519627494_n.jpg","assets/ih-all/04_projects/pogany-indulo/587484800_1400869875372281_3896705483519627494_n.webp","25878","17486","810","540",""
"04_projects/pogany-indulo/pogany_indulo_group_photo_stairs.webp","assets/ih-all/04_projects/pogany-indulo/pogany_indulo_group_photo_stairs.webp","268982","184350","1079","1333",""
"04_projects/pogany-indulo/pogany_indulo_stage_arms_out.webp","assets/ih-all/04_projects/pogany-indulo/pogany_indulo_stage_arms_out.webp","108878","95960","2000","1333",""
"04_projects/pogany-indulo/pogany_indulo_stage_portrait_blue.webp","assets/ih-all/04_projects/pogany-indulo/pogany_indulo_stage_portrait_blue.webp","45534","22964","1200","630",""
"04_projects/pogany-indulo/Timeline 1_01_00_04_19.jpg","assets/ih-all/04_projects/pogany-indulo/timeline-1_01_00_04_19.webp","1882186","85454","3840","2160",""
"04_projects/pogany-indulo/Timeline 1_01_00_58_16.jpg","assets/ih-all/04_projects/pogany-indulo/timeline-1_01_00_58_16.webp","2707643","113894","3840","2160",""
"04_projects/pogany-indulo/Timeline 1_01_02_43_02.jpg","assets/ih-all/04_projects/pogany-indulo/timeline-1_01_02_43_02.webp","1993062","58784","3840","2160",""
"04_projects/Rendszerbonto/0F3A5453.jpg","assets/ih-all/04_projects/rendszerbonto/0f3a5453.webp","2155120","632338","5000","3335",""
"04_projects/Rendszerbonto/0F3A5533.jpg","assets/ih-all/04_projects/rendszerbonto/0f3a5533.webp","2212267","271462","5000","3335",""
"04_projects/Rendszerbonto/354A2497.jpg","assets/ih-all/04_projects/rendszerbonto/354a2497.webp","1414430","119182","2500","1667",""
"04_projects/Rendszerbonto/354A3236.jpg","assets/ih-all/04_projects/rendszerbonto/354a3236.webp","2033580","135558","2500","1667",""
